goalid,teamid,period,goaltime,scorer,assist1,assist2,gameid,goaldate,seconds
2023103012:39DAL6,DAL,3RD,1900-01-01 12:39:00,Evgenii Dadonov,Wyatt Johnston,Jamie Benn,20231030CLB@DAL,2023-10-30,3159
2023103013:08SEA2,SEA,1ST,1900-01-01 13:08:00,Yanni Gourde,Kailer Yamamoto,Jared McCann,20231030SEA@TB,2023-10-30,788
2023103013:12NYR4,NYR,3RD,1900-01-01 13:12:00,Chris Kreider,Adam Fox,Artemi Panarin,20231030NYR@WPG,2023-10-30,3192
2023103013:37TB3,TB,1ST,1900-01-01 13:37:00,Tanner Jeannot,Haydn Fleury,Darren Raddysh,20231030SEA@TB,2023-10-30,817
2023103013:41CLB3,CLB,1ST,1900-01-01 13:41:00,Damon Severson,Adam Fantilli,Zach Werenski,20231030CLB@DAL,2023-10-30,821
2023103013:53ARI3,ARI,1ST,1900-01-01 13:53:00,Josh Brown,Jack McBain,Alexander Kerfoot,20231030CHI@ARI,2023-10-30,833
2023103014:32TB6,TB,3RD,1900-01-01 14:32:00,Brandon Hagel,Anthony Cirelli,Alex Barre-Boulet,20231030SEA@TB,2023-10-30,3272
2023103015:06LV1,LV,1ST,1900-01-01 15:06:00,Paul Cotter,William Karlsson,Alex Pietrangelo,20231030MON@LV,2023-10-30,906
2023103015:08FLA2,FLA,1ST,1900-01-01 15:08:00,Sam Reinhart,Aleksander Barkov,None,20231030FLA@BOS,2023-10-30,908
2023103015:09PHI2,PHI,1ST,1900-01-01 15:09:00,Owen Tippett,Sean Couturier,None,20231030CAR@PHI,2023-10-30,909
2023103015:26ARI8,ARI,2ND,1900-01-01 15:26:00,Liam O'Brien,None,None,20231030CHI@ARI,2023-10-30,2126
2023103015:42MON4,MON,3RD,1900-01-01 15:42:00,Nick Suzuki,Rafael Harvey-Pinard,Cole Caufield,20231030MON@LV,2023-10-30,3342
2023103015:49NYI6,NYI,3RD,1900-01-01 15:49:00,Bo Horvat,Mathew Barzal,Noah Dobson,20231030DET@NYI,2023-10-30,3349
2023103015:52SEA4,SEA,1ST,1900-01-01 15:52:00,Kailer Yamamoto,Jaden Schwartz,Eeli Tolvanen,20231030SEA@TB,2023-10-30,952
2023103015:55ARI4,ARI,1ST,1900-01-01 15:55:00,Michael Carcone,Lawson Crouse,Nick Bjugstad,20231030CHI@ARI,2023-10-30,955
2023103016:13CAR5,CAR,3RD,1900-01-01 16:13:00,Teuvo Teravainen,Michael Bunting,Jesperi Kotkaniemi,20231030CAR@PHI,2023-10-30,3373
2023103016:21DAL7,DAL,3RD,1900-01-01 16:21:00,Wyatt Johnston,Evgenii Dadonov,Jamie Benn,20231030CLB@DAL,2023-10-30,3381
2023103017:10CLB8,CLB,3RD,1900-01-01 17:10:00,Sean Kuraly,Ivan Provorov,Mathieu Olivier,20231030CLB@DAL,2023-10-30,3430
2023103018:10LV3,LV,2ND,1900-01-01 18:10:00,William Carrier,Chandler Stephenson,Jack Eichel,20231030MON@LV,2023-10-30,2290
2023103018:23PHI3,PHI,1ST,1900-01-01 18:23:00,Garnet Hathaway,Nicolas Deslauriers,Scott Laughton,20231030CAR@PHI,2023-10-30,1103
2023103018:24NYR1,NYR,1ST,1900-01-01 18:24:00,Artemi Panarin,Jacob Trouba,K'Andre Miller,20231030NYR@WPG,2023-10-30,1104
2023103018:39NYI1,NYI,2ND,1900-01-01 18:39:00,Casey Cizikas,Bo Horvat,None,20231030DET@NYI,2023-10-30,2319
2023103019:25PIT4,PIT,2ND,1900-01-01 19:25:00,Evgeni Malkin,Erik Karlsson,Sidney Crosby,20231030ANA@PIT,2023-10-30,2365
2023103019:32WPG2,WPG,1ST,1900-01-01 19:32:00,David Gustafsson,Cole Perfetti,None,20231030NYR@WPG,2023-10-30,1172
2023103019:47ANA7,ANA,3RD,1900-01-01 19:47:00,Mason McTavish,Adam Henrique,None,20231030ANA@PIT,2023-10-30,3587
2023103027.0DAL1,DAL,1ST,1900-01-01 00:27:00,Thomas Harley,Jason Robertson,Roope Hintz,20231030CLB@DAL,2023-10-30,27
2023103028.0CHI1,CHI,1ST,1900-01-01 00:28:00,Connor Bedard,Kevin Korchinski,Seth Jones,20231030CHI@ARI,2023-10-30,28
2023103104:11VAN6,VAN,3RD,1900-01-01 04:11:00,J.T. Miller,Brock Boeser,Quinn Hughes,20231031NSH@VAN,2023-10-31,2651
2023103106:38LA1,LA,1ST,1900-01-01 06:38:00,Andreas Englund,Pierre-Luc Dubois,None,20231031LA@TOR,2023-10-31,398
2023103108:25TOR4,TOR,3RD,1900-01-01 08:25:00,John Tavares,Mitchell Marner,William Nylander,20231031LA@TOR,2023-10-31,2905
2023103109:46LA3,LA,2ND,1900-01-01 09:46:00,Arthur Kaliyev,Kevin Fiala,Quinton Byfield,20231031LA@TOR,2023-10-31,1786
2023103111:40LA2,LA,1ST,1900-01-01 11:40:00,Phillip Danault,Trevor Moore,Jordan Spence,20231031LA@TOR,2023-10-31,700
2023103112:13LA5,LA,3RD,1900-01-01 12:13:00,Adrian Kempe,Anze Kopitar,Quinton Byfield,20231031LA@TOR,2023-10-31,3133
2023103113:45VAN1,VAN,1ST,1900-01-01 13:45:00,Sam Lafferty,None,None,20231031NSH@VAN,2023-10-31,825
2023103116:10NSH2,NSH,1ST,1900-01-01 16:10:00,Colton Sissons,Roman Josi,Liam Foudy,20231031NSH@VAN,2023-10-31,970
2023103116:38VAN5,VAN,2ND,1900-01-01 16:38:00,Elias Pettersson,Andrei Kuzmenko,Filip Hronek,20231031NSH@VAN,2023-10-31,2198
2023103116:40NSH3,NSH,1ST,1900-01-01 16:40:00,Dante Fabbro,Filip Forsberg,Ryan O'Reilly,20231031NSH@VAN,2023-10-31,1000
2023103117:02VAN7,VAN,3RD,1900-01-01 17:02:00,Elias Pettersson,Anthony Beauvillier,Tyler Myers,20231031NSH@VAN,2023-10-31,3422
2023103153.0VAN4,VAN,2ND,1900-01-01 00:53:00,Elias Pettersson,Quinn Hughes,Ilya Mikheyev,20231031NSH@VAN,2023-10-31,1253
2023110101:41COL4,COL,3RD,1900-01-01 01:41:00,Artturi Lehkonen,Cale Makar,Mikko Rantanen,20231101STL@COL,2023-11-01,2501
2023110101:57CGY3,CGY,2ND,1900-01-01 01:57:00,Andrew Mangiapane,MacKenzie Weegar,Elias Lindholm,20231101DAL@CGY,2023-11-01,1317
2023110102:20CGY7,CGY,3RD,1900-01-01 02:20:00,MacKenzie Weegar,Nazem Kadri,Elias Lindholm,20231101DAL@CGY,2023-11-01,2540
2023110103:03BUF5,BUF,3RD,1900-01-01 03:03:00,Owen Power,Tage Thompson,Alex Tuch,20231101BUF@PHI,2023-11-01,2583
2023110103:27ANA7,ANA,OVE,1900-01-01 03:27:00,Troy Terry,Mason McTavish,None,20231101ARI@ANA,2023-11-01,3807
2023110103:38BUF2,BUF,1ST,1900-01-01 03:38:00,Casey Mittelstadt,John-Jason Peterka,Jeff Skinner,20231101BUF@PHI,2023-11-01,218
2023110103:46ANA1,ANA,1ST,1900-01-01 03:46:00,Troy Terry,None,None,20231101ARI@ANA,2023-11-01,226
2023110104:01ANA6,ANA,3RD,1900-01-01 04:01:00,Leo Carlsson,Troy Terry,Radko Gudas,20231101ARI@ANA,2023-11-01,2641
2023110104:35DAL4,DAL,2ND,1900-01-01 04:35:00,Jason Robertson,Roope Hintz,Joe Pavelski,20231101DAL@CGY,2023-11-01,1475
2023110105:28CGY1,CGY,1ST,1900-01-01 05:28:00,Connor Zary,Christopher Tanev,Nazem Kadri,20231101DAL@CGY,2023-11-01,328
