goalID,teamID,period,goalTime,goalDate,scorer,gameID,assist1,assist2,seconds
2023102114:01ARI2,ARI,2ND,14:01,2023-10-21,Clayton Keller,20231021ANA@ARI,Nick Schmaltz,Sean Durzi,2041
2023102117:41ARI1,ARI,1ST,17:41,2023-10-21,Jason Zucker,20231021ANA@ARI,Juuso Valimaki,Matias Maccelli,1061
2023102118:39NYI4,NYI,3RD,18:39,2023-10-21,Noah Dobson,20231021NYI@BUF,Mathew Barzal,Bo Horvat,3519
2023102102:40BUF3,BUF,3RD,02:40,2023-10-21,Dylan Cozens,20231021NYI@BUF,Rasmus Dahlin,Jordan Greenway,2560
2023102119:23BUF2,BUF,2ND,19:23,2023-10-21,Mattias Samuelsson,20231021NYI@BUF,Casey Mittelstadt,Jeff Skinner,2363
2023102116:37BUF1,BUF,2ND,16:37,2023-10-21,Jeff Skinner,20231021NYI@BUF,Casey Mittelstadt,None,2197
2023102117:50VAN8,VAN,3RD,17:50,2023-10-21,Brock Boeser,20231021VAN@FLA,None,None,3470
2023102115:03VAN7,VAN,3RD,15:03,2023-10-21,Andrei Kuzmenko,20231021VAN@FLA,Phillip Di Giuseppe,J.T. Miller,3303
2023102114:01FLA6,FLA,3RD,14:01,2023-10-21,Sam Reinhart,20231021VAN@FLA,Evan Rodrigues,Josh Mahura,3241
2023102106:10FLA5,FLA,3RD,06:10,2023-10-21,Sam Reinhart,20231021VAN@FLA,Evan Rodrigues,Aleksander Barkov,2770
2023102111:15VAN4,VAN,2ND,11:15,2023-10-21,Elias Pettersson,20231021VAN@FLA,Andrei Kuzmenko,Ilya Mikheyev,1875
2023102110:41VAN3,VAN,2ND,10:41,2023-10-21,Carson Soucy,20231021VAN@FLA,Conor Garland,None,1841
2023102111:29FLA2,FLA,1ST,11:29,2023-10-21,Aleksander Barkov,20231021VAN@FLA,None,None,689
2023102111:09VAN1,VAN,1ST,11:09,2023-10-21,Quinn Hughes,20231021VAN@FLA,J.T. Miller,Elias Pettersson,669
2023102147.0MON5,MON,OVE,00:47,2023-10-21,Cole Caufield,20231021WAS@MON,Nick Suzuki,Mike Matheson,3647
2023102117:59WAS4,WAS,3RD,17:59,2023-10-21,Dylan Strome,20231021WAS@MON,Evgeny Kuznetsov,John Carlson,3479
2023102111:25WAS3,WAS,3RD,11:25,2023-10-21,Dylan Strome,20231021WAS@MON,Alex Ovechkin,Matthew Phillips,3085
2023102109:50MON2,MON,2ND,09:50,2023-10-21,Brendan Gallagher,20231021WAS@MON,Sean Monahan,Tanner Pearson,1790
2023102118:55MON1,MON,1ST,18:55,2023-10-21,Sean Monahan,20231021WAS@MON,Nick Suzuki,Cole Caufield,1135
2023102104:05TOR7,TOR,OVE,04:05,2023-10-21,John Tavares,20231021TOR@TB,William Nylander,John Klingberg,3845
2023102114:33TOR6,TOR,3RD,14:33,2023-10-21,Matthew Knies,20231021TOR@TB,Max Domi,David Kampf,3273
2023102112:11TOR5,TOR,3RD,12:11,2023-10-21,Matthew Knies,20231021TOR@TB,Max Domi,None,3131
2023102113:29TB4,TB,1ST,13:29,2023-10-21,Nikita Kucherov,20231021TOR@TB,Mikhail Sergachev,Steven Stamkos,809
2023102110:04TB3,TB,1ST,10:04,2023-10-21,Alex Barre-Boulet,20231021TOR@TB,Nikita Kucherov,Brayden Point,604
2023102106:26TB2,TB,1ST,06:26,2023-10-21,Nikita Kucherov,20231021TOR@TB,Brayden Point,Victor Hedman,386
2023102104:16TOR1,TOR,1ST,04:16,2023-10-21,William Nylander,20231021TOR@TB,Matthew Knies,John Tavares,256
2023102102:13DAL9,DAL,OVE,02:13,2023-10-21,Joe Pavelski,20231021PHI@DAL,Wyatt Johnston,None,3733
2023102112:45PHI8,PHI,3RD,12:45,2023-10-21,Sean Walker,20231021PHI@DAL,Egor Zamula,None,3165
2023102111:58PHI7,PHI,3RD,11:58,2023-10-21,Travis Konecny,20231021PHI@DAL,Travis Sanheim,Scott Laughton,3118
2023102110:36DAL6,DAL,3RD,10:36,2023-10-21,Jamie Benn,20231021PHI@DAL,Wyatt Johnston,None,3036
2023102130.0DAL5,DAL,2ND,00:30,2023-10-21,Roope Hintz,20231021PHI@DAL,Jason Robertson,Joe Pavelski,1230
2023102116:36PHI4,PHI,1ST,16:36,2023-10-21,Travis Konecny,20231021PHI@DAL,Noah  Cates,None,996
2023102110:12PHI3,PHI,1ST,10:12,2023-10-21,Joel Farabee,20231021PHI@DAL,Bobby Brink,Noah  Cates,612
2023102107:52DAL2,DAL,1ST,07:52,2023-10-21,Tyler Seguin,20231021PHI@DAL,Ryan Suter,Miro Heiskanen,472
2023102104:02DAL1,DAL,1ST,04:02,2023-10-21,Wyatt Johnston,20231021PHI@DAL,Jamie Benn,None,242
2023102103:07CLB9,CLB,OVE,03:07,2023-10-21,Jack Roslovic,20231021CLB@MIN,Johnny Gaudreau,None,3787
2023102117:01MIN8,MIN,3RD,17:01,2023-10-21,Marcus Johansson,20231021CLB@MIN,Pat Maroon,Dakota Mermis,3421
2023102114:41CLB7,CLB,3RD,14:41,2023-10-21,Adam Fantilli,20231021CLB@MIN,Ivan Provorov,Damon Severson,3281
2023102107:36CLB6,CLB,3RD,07:36,2023-10-21,Boone Jenner,20231021CLB@MIN,Zach Werenski,Damon Severson,2856
2023102104:42MIN5,MIN,3RD,04:42,2023-10-21,Jonas Brodin,20231021CLB@MIN,Joel Eriksson Ek,Pat Maroon,2682
2023102108:15MIN4,MIN,2ND,08:15,2023-10-21,Mats Zuccarello,20231021CLB@MIN,Ryan Hartman,None,1695
2023102107:21MIN3,MIN,2ND,07:21,2023-10-21,Dakota Mermis,20231021CLB@MIN,Marcus Johansson,Joel Eriksson Ek,1641
2023102106:10CLB2,CLB,2ND,06:10,2023-10-21,Kent Johnson,20231021CLB@MIN,Cole Sillinger,None,1570
