"goalID","scorer","period","teamName","goalDate","gameID"
"2023101413:46LA8",Trevor Moore,"2ND",Los Angeles Kings,2023-10-14,"20231014CAR@LA"
"2023101414:14PIT5",Evgeni Malkin,"3RD",Pittsburgh Penguins,2023-10-14,"20231014CGY@PIT"
"2023101414:17WPG7",Mason Appleton,"3RD",Winnipeg Jets,2023-10-14,"20231014FLA@WPG"
"2023101414:35DET4",Alex DeBrincat,"1ST",Detroit Red Wings,2023-10-14,"20231014TB@DET"
"2023101414:46BOS3",David Pastrnak,"2ND",Boston Bruins,2023-10-14,"20231014NSH@BOS"
"2023101414:48BOS2",James van Riemsdyk,"1ST",Boston Bruins,2023-10-14,"20231014NSH@BOS"
"2023101415:23DET7",J.T. Compher,"2ND",Detroit Red Wings,2023-10-14,"20231014TB@DET"
"2023101415:54CLB7",Justin Danforth,"3RD",Columbus Blue Jackets,2023-10-14,"20231014NYR@CLB"
"2023101416:05CGY6",Jonathan Huberdeau,"3RD",Calgary Flames,2023-10-14,"20231014CGY@PIT"
"2023101416:12OTT4",Jake Sanderson,"2ND",Ottawa Senators,2023-10-14,"20231014PHI@OTT"
"2023101416:30PHI5",Cam York,"2ND",Philadelphia Flyers,2023-10-14,"20231014PHI@OTT"
"2023101416:31FLA8",Carter Verhaeghe,"3RD",Florida Panthers,2023-10-14,"20231014FLA@WPG"
"2023101416:51PHI3",Travis Konecny,"1ST",Philadelphia Flyers,2023-10-14,"20231014PHI@OTT"
"2023101416:54NSH4",Colton Sissons,"2ND",Nashville Predators,2023-10-14,"20231014NSH@BOS"
"2023101417:03FLA2",Sam Reinhart,"1ST",Florida Panthers,2023-10-14,"20231014FLA@WPG"
"2023101417:32MIN11",Brandon Duhaime,"3RD",Minnesota Wild,2023-10-14,"20231014MIN@TOR"
"2023101417:36FLA9",Evan Rodrigues,"3RD",Florida Panthers,2023-10-14,"20231014FLA@WPG"
"2023101417:38MON3",Sean Monahan,"2ND",Montreal Canadiens,2023-10-14,"20231014CHI@MON"
"2023101417:45CLB3",Boone Jenner,"1ST",Columbus Blue Jackets,2023-10-14,"20231014NYR@CLB"
"2023101417:51VAN3",Nils Hoglander,"1ST",Vancouver Canucks,2023-10-14,"20231014VAN@EDM"
"2023101418.0PIT2",Bryan Rust,"3RD",Pittsburgh Penguins,2023-10-14,"20231014CGY@PIT"
"2023101418:18NYI2",Kyle Palmieri,"1ST",New York Islanders,2023-10-14,"20231014BUF@NYI"
"2023101418:22CGY1",Matthew Coronato,"2ND",Calgary Flames,2023-10-14,"20231014CGY@PIT"
"2023101418:27LA4",Drew Doughty,"1ST",Los Angeles Kings,2023-10-14,"20231014CAR@LA"
"2023101418:34COL2",Cale Makar,"3RD",Colorado Avalanche,2023-10-14,"20231014COL@SJ"
"2023101418:38LA10",Anze Kopitar,"3RD",Los Angeles Kings,2023-10-14,"20231014CAR@LA"
"2023101418:39CHI5",Tyler Johnson,"3RD",Chicago Blackhawks,2023-10-14,"20231014CHI@MON"
"2023101418:50WPG10",Kyle Connor,"3RD",Winnipeg Jets,2023-10-14,"20231014FLA@WPG"
"2023101419:24NYR8",Chris Kreider,"3RD",New York Rangers,2023-10-14,"20231014NYR@CLB"
"2023101419:37TOR4",William Nylander,"1ST",Toronto Maple Leafs,2023-10-14,"20231014MIN@TOR"
"2023101419:38PIT7",Bryan Rust,"3RD",Pittsburgh Penguins,2023-10-14,"20231014CGY@PIT"
"2023101419:54OTT6",Brady Tkachuk,"2ND",Ottawa Senators,2023-10-14,"20231014PHI@OTT"
"2023101419:59DET10",Moritz Seider,"3RD",Detroit Red Wings,2023-10-14,"20231014TB@DET"
"2023101425.0FLA3",Evan Rodrigues,"2ND",Florida Panthers,2023-10-14,"20231014FLA@WPG"
"2023101435.0CHI4",Tyler Johnson,"3RD",Chicago Blackhawks,2023-10-14,"20231014CHI@MON"
"2023101435.0WPG4",Kyle Connor,"2ND",Winnipeg Jets,2023-10-14,"20231014FLA@WPG"
